Date,Total Rate,Male Rate,Female Rate,Teen Rate,White Rate,Black Rate,Asian Rate,Hispanic Rate,Unemployment Change
Apr 2005,5.2,4.4,4.6,17.8,4.4,10.3,4.2,6.4,0.0
May 2005,5.1,4.3,4.7,17.8,4.4,10.1,4.2,6.0,-0.0192
Jun 2005,5.0,4.3,4.6,16.3,4.3,10.2,3.6,5.7,-0.0196
Jul 2005,5.0,4.2,4.6,16.1,4.2,9.2,4.8,5.5,0.0
Aug 2005,4.9,4.3,4.4,16.1,4.2,9.7,3.7,5.8,-0.02
Sep 2005,5.0,4.5,4.6,15.5,4.4,9.4,4.3,6.4,0.0204
Oct 2005,5.0,4.3,4.5,16.1,4.4,9.1,3.2,6.0,0.0
Nov 2005,5.0,4.3,4.6,17.0,4.3,10.6,3.6,6.1,0.0
Dec 2005,4.9,4.3,4.4,14.9,4.2,9.2,3.8,6.1,-0.02
Jan 2006,4.7,4.1,4.3,15.1,4.1,8.9,3.0,5.5,-0.0408
Feb 2006,4.8,4.2,4.3,15.3,4.1,9.5,3.0,5.4,0.0213
Mar 2006,4.7,4.1,4.2,16.1,4.0,9.5,3.5,5.2,-0.0208
Apr 2006,4.7,4.2,4.3,14.6,4.1,9.4,3.9,5.5,0.0
May 2006,4.6,4.2,4.1,14.0,4.1,8.7,3.3,5.0,-0.0213
Jun 2006,4.6,4.0,4.1,15.8,4.1,8.9,3.1,5.2,0.0
Jul 2006,4.7,4.1,4.2,15.9,4.1,9.5,2.4,5.2,0.0217
Aug 2006,4.7,4.1,4.1,16.0,4.1,8.8,3.0,5.3,0.0
Sep 2006,4.5,3.7,4.2,16.3,3.9,9.0,3.0,5.5,-0.0426
Oct 2006,4.4,3.9,3.9,15.2,3.9,8.4,2.8,4.8,-0.0222
Nov 2006,4.5,4.0,4.0,14.8,4.0,8.5,3.1,5.1,0.0227
Dec 2006,4.4,3.9,3.9,14.6,3.9,8.3,2.5,5.0,-0.0222
Jan 2007,4.6,4.2,4.0,14.8,4.2,7.9,3.1,5.5,0.0455
Feb 2007,4.5,4.2,3.8,14.9,4.1,8.0,2.6,5.1,-0.0217
Mar 2007,4.4,4.0,3.8,14.9,3.8,8.4,3.0,5.0,-0.0222
Apr 2007,4.5,4.0,3.9,15.9,4.0,8.3,3.5,5.6,0.0227
May 2007,4.4,4.0,3.8,15.9,3.9,8.3,3.2,5.8,-0.0222
Jun 2007,4.6,4.0,3.9,16.3,4.1,8.5,2.7,5.5,0.0455
Jul 2007,4.7,4.2,4.2,15.3,4.2,8.1,2.7,5.9,0.0217
Aug 2007,4.6,4.1,4.1,15.9,4.2,7.6,3.5,5.5,-0.0213
Sep 2007,4.7,4.2,4.1,15.9,4.2,8.0,3.4,5.9,0.0217
Oct 2007,4.7,4.3,4.1,15.4,4.1,8.5,3.8,5.7,0.0
Nov 2007,4.7,4.2,4.2,16.2,4.2,8.5,3.6,5.9,0.0
Dec 2007,5.0,4.4,4.4,16.8,4.4,9.0,3.7,6.3,0.0638
Jan 2008,5.0,4.5,4.3,17.8,4.4,9.1,3.1,6.3,0.0
Feb 2008,4.9,4.4,4.2,16.6,4.4,8.4,2.9,6.2,-0.02
Mar 2008,5.1,4.6,4.5,16.1,4.5,9.2,3.6,6.9,0.0408
Apr 2008,5.0,4.6,4.2,15.9,4.4,8.6,3.5,7.1,-0.0196
May 2008,5.4,4.9,4.6,19.0,4.8,9.6,4.1,6.9,0.08
Jun 2008,5.6,5.1,4.7,19.2,5.0,9.4,4.2,7.6,0.037
Jul 2008,5.8,5.4,4.7,20.7,5.2,10.0,3.7,7.5,0.0357
Aug 2008,6.1,5.7,5.4,18.6,5.4,10.6,4.5,8.0,0.0517
Sep 2008,6.1,6.1,5.0,19.1,5.4,11.3,4.0,8.0,0.0
Oct 2008,6.5,6.3,5.4,20.0,5.9,11.4,3.9,8.8,0.0656
Nov 2008,6.8,6.7,5.7,20.3,6.2,11.5,4.8,8.7,0.0462
Dec 2008,7.3,7.4,5.9,20.5,6.7,12.1,5.1,9.4,0.0735
Jan 2009,7.8,7.9,6.5,20.7,7.1,12.7,6.1,10.1,0.0685
Feb 2009,8.3,8.5,6.8,22.3,7.6,13.7,6.7,11.3,0.0641
Mar 2009,8.7,9.0,7.1,22.2,8.0,13.7,6.5,11.7,0.0482
Apr 2009,9.0,9.5,7.1,22.2,8.1,15.0,6.8,11.4,0.0345
May 2009,9.4,9.8,7.5,23.4,8.5,15.0,7.0,12.3,0.0444
Jun 2009,9.5,9.9,7.6,24.7,8.7,14.8,7.9,12.1,0.0106
Jul 2009,9.5,9.8,7.7,24.3,8.7,14.8,8.1,12.5,0.0
Aug 2009,9.6,10.0,7.7,25.0,8.9,14.8,7.6,13.0,0.0105
Sep 2009,9.8,10.1,7.9,25.9,8.9,15.3,7.6,12.6,0.0208
Oct 2009,10.0,10.4,8.0,27.2,9.2,15.8,7.6,12.8,0.0204
Nov 2009,9.9,10.3,7.9,26.9,9.2,15.7,7.2,12.4,-0.01
Dec 2009,9.9,10.1,8.0,26.7,9.0,16.1,8.4,12.8,0.0
Jan 2010,9.8,10.2,7.9,26.1,8.8,16.5,8.3,12.9,-0.0101
Feb 2010,9.8,10.3,8.0,25.6,8.9,16.1,8.2,12.7,0.0
Mar 2010,9.9,10.2,8.1,26.2,8.9,16.8,7.6,12.9,0.0102
Apr 2010,9.9,10.2,8.3,25.4,9.0,16.6,7.0,12.5,0.0
